from,to,value
5,9,2
5,13,1
5,49,2
17,6,39
17,7,41
17,8,3
17,12,1
17,13,3
17,14,1
17,18,4
17,22,6
17,29,10
17,39,1
17,42,4
17,45,1
17,54,3
17,62,1
19,7,1
35,1,7
35,4,4
35,6,1
35,7,12
35,8,1
35,9,24
35,10,1
35,11,1
35,12,1
35,13,43
35,14,9
35,15,4
35,18,6
35,21,15
35,23,1
35,24,2
35,25,1
35,26,1
35,27,3
35,29,8
35,32,10
35,33,2
35,34,1
35,37,1
35,40,1
35,42,2
35,44,2
35,45,7
35,48,1
35,50,2
35,52,1
35,56,1
35,62,1
36,6,3
36,7,3
36,8,1
36,13,5
36,18,1
36,28,2
36,42,2
36,44,1
36,45,1
36,55,1
36,62,1
46,2,1
46,3,2
46,6,1
46,7,21
46,8,5
46,9,5
46,13,21
46,14,9
46,16,1
46,18,5
46,20,3
46,23,1
46,24,1
46,29,1
46,31,1
46,32,2
46,37,2
46,41,1
46,42,1
46,43,2
46,44,6
46,45,2
46,52,7
46,53,1
46,57,1
46,58,1
46,59,1
47,6,2
47,7,9
47,29,1
47,44,4
47,45,4
61,1,1
61,7,13
61,9,2
61,12,1
61,13,4
61,14,7
61,30,2
61,38,2
61,45,1
61,51,1
61,54,1
61,60,1
